uuid,username,first_name,last_name,password,address,city,state,zip_code,phone,birth
110d518d-a25f-4dab-92c0-f77330a036a6,silverbird963,Billy,Bowman,*IK<.lo9,8527 Harrison Ct,Birmingham,Montana,84270,(490) 305-4557,01/23/1986
56dd994f-028e-490b-bc54-1d77b16e9187,crazybird852,Gabriella,Harvey,*IK<.lo9,5738 Plum St,Erie,West Virginia,14606,(374) 562-5413,12/06/1976
fb821739-56ef-4a0e-a3be-821f2d14fef4,sadtiger571,Wyatt,Prescott,*IK<.lo9,1797 Cackson St,Ironville,Hawaii,63250,(394) 216-0164,11/30/1969
aa850b40-e94d-4cca-84e7-cc54c7767d50,tinykoala824,Luke,Obrien,*IK<.lo9,3201 Ash Dr,Red Bluff,Iowa,13347,(599) 408-2812,01/26/1981
b7116907-55df-4252-9bc3-c8c485ff9a6c,silverduck820,Mike,Jensen,*IK<.lo9,1199 Hunters Creek Dr,Newark,Alabama,50861,(539) 507-4623,04/09/1965
458aa2c6-5e63-4102-941d-2f9235475436,ticklishcat982,Edna,Grant,*IK<.lo9,6838 Dane St,Salinas,Massachusetts,42024,(238) 741-6420,06/07/1987
87b0cc98-be47-4b81-821b-60609ab29e8b,bigpanda475,Juan,Jimenez,*IK<.lo9,545 Stevens Creek Blvd,Saginaw,New Jersey,58786,(770) 637-7066,10/16/1979
a44db73e-8643-4b8a-99fb-a9a09c538c56,sadostrich642,Marlene,Flores,*IK<.lo9,6974 Mcgowen St,Denton,Washington,58380,(402) 971-3352,10/26/1968
d0cf76ef-46ba-4187-bdf6-ea35b8f5f69c,happywolf702,Sonia,Barnes,*IK<.lo9,4433 Hunters Creek Dr,Vancouver,Wyoming,32684,(486) 450-2779,05/17/1964
971c82e1-a96a-4e36-bd79-58a9a2116722,organicgoose553,Lorraine,Jensen,*IK<.lo9,5258 Crockett St,Topeka,California,67333,(813) 706-5331,06/22/1971
57de790c-b77c-43d5-a0d5-2e82c13516aa,ticklishfrog260,Eugene,Jacobs,*IK<.lo9,8973 Lovers Ln,Norman,Alabama,82755,(201) 686-6420,10/02/1969
09eea2b9-469b-40bb-ba30-cafb7bc78db5,angryrabbit663,Anna,Mills,*IK<.lo9,6572 Daisy Dr,Pueblo,New Jersey,37849,(415) 329-9395,07/11/1986
02191700-8fc5-4535-8063-1290b1961d19,bluebutterfly215,Alice,Chambers,*IK<.lo9,941 Locust Rd,Augusta,Arizona,55360,(415) 760-3928,06/14/1975
a8fd20b2-ffb3-46d2-8fe9-8043c7981184,organicleopard154,Marie,Little,*IK<.lo9,1648 Blossom Hill Rd,Pompano Beach,Georgia,96531,(611) 276-1383,12/14/1988
7407da5c-c8a1-453f-a468-7f96f5b764b2,lazykoala996,Juanita,Gonzales,*IK<.lo9,8230 Pockrus Page Rd,Fountain Valley,Rhode Island,80631,(850) 223-3471,07/21/1969
7d3f7b8e-8bf2-4091-8519-a2e11258100c,organicostrich255,Joyce,Simmons,*IK<.lo9,4558 Shady Ln Dr,Lousville,Washington,56797,(828) 632-1616,07/24/1965
bc63d9e9-ebd7-4e5c-9cfb-690b8d2bc425,yellowpanda461,Micheal,Robertson,*IK<.lo9,2301 Valley View Ln,Mobile,Washington,63136,(989) 908-9253,10/26/1988
9a94e50b-a02b-4bc4-9e45-0773f958767e,greenbird501,Leona,Palmer,*IK<.lo9,9341 Green Rd,Albany,Pennsylvania,71289,(748) 689-9234,09/19/1973
fd14b3e6-94ca-4683-8f58-962495b93ff9,goldenleopard616,Wade,Simpson,*IK<.lo9,2594 Robinson Rd,Dumas,Vermont,45506,(420) 846-9326,03/26/1973
